,Unnamed: 0,summary,document,label
0,0,australian current account deficit narrows sharply,"australia 's current account deficit shrunk by a record #.## billion dollars -lrb- #.## billion us -rrb- in the june quarter due to soaring commodity prices , figures released monday showed .",0
1,1,at least two dead in southern philippines blast,"at least two people were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday , the military said .",0
2,2,australian stocks close down #.# percent,"australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .",0
3,3,envoy urges north korea to restart nuclear disablement,south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .,0
4,4,skorea announces tax cuts to stimulate economy,"south korea on monday announced sweeping tax reforms , including income and corporate tax cuts to boost growth by stimulating sluggish private consumption and business investment .",0
5,5,taiwan shares close down #.## percent,"taiwan share prices closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .",0
6,6,australian stocks close down #.# percent,"australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .",0
7,7,spain 's colonial posts #.## billion euro loss,"spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .",0
8,8,kadhafi promises wide political economic reforms,libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .,0
9,9,un 's top aid official arrives in drought-hit ethiopia,"the united nations ' humanitarian chief john holmes arrived in ethiopia monday to tour regions affected by drought , which has left some eight million people in need of urgent food aid .",0
10,10,new zealand stocks close #.## percent higher,"new zealand share prices closed #.## percent higher monday in subdued trading ahead of a us holiday , dealers said .",0
11,11,beijing 's best air in a decade due to olympic measures,"beijing is enjoying its best air quality in a decade thanks to steps taken for the olympics , authorities said monday , amid a push by some locals for the anti- pollution measures to be made permanent .",0
12,12,skorean stocks close #.# percent lower,"south korean shares closed #.# percent lower monday following steep losses on wall street and the won 's continued decline against the dollar , analysts said .",0
13,13,skorea bank refuses to confirm reported talks with lehman,south korea 's state-run korea development bank refused comment monday on a british newspaper report that it is still seeking a stake in troubled us investment bank lehman brothers .,0
14,14,taiwan shares close down #.## percent,"taiwan shares closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .",0
15,15,skorea 's inflation rate slows slightly in august,"south korea 's inflation rate slowed slightly in august as oil and commodity prices showed signs of stabilising , the national statistical office said monday .",0
16,16,south korea 's new parliament finally opens,"south korea 's new parliament began its first regular session monday after months of delays , with the conservative party eager to push through a pro-business agenda after a decade of rule by liberal presidents .",0
17,17,us man charged with child sex in cambodia,"an american man has been arrested and charged in cambodia with committing indecent acts against a ##-year-old child prostitute on a dark street , police and court officials said monday .",0
18,18,philippine shares close little changed,"philippine share prices closed little changed monday as investors awaited the impact on oil prices from hurricane gustav as it slammed into the us gulf coast , dealers said .",0
19,19,hong kong shares end morning #.# pct down,"hong kong share prices ended monday morning #.# percent down , tracking wall street weakness friday , dealers said .",0
20,20,algeria adopts #### finance bill with oil put at ## dollars a barrel,"the algerian cabinet chaired by president abdelaziz bouteflika on sunday adopted the #### finance bill predicated on an oil price of ## dollars a barrel and a growth rate of #.# percent , it was announced here .",0
21,21,philippine shares close little changed,"philippine share prices closed little changed monday as investors awaited the impact on oil prices from hurricane gustav as it slammed into the us gulf coast , dealers said .",0
22,22,two police em killed in ingushetia attack,"two policemen were killed and one was wounded in an attack on a police station early monday in russia 's caucasian republic of ingushetia bordering on chechnya , interfax news agency reported .",2
23,23,skorean stocks sharply lower in morning session,"south korean shares fell sharply late monday morning following wall street 's steep friday losses and the won 's continued decline against the dollar , analysts said .",0
24,24,philippines limits operations against muslim rebels as ramadan starts,philippine troops on monday pursued limited operations against muslim rebel leaders accused of murder but said they were not hunting all the insurgents as the large islamic minority observed the holy month of ramadan .,1
25,25,hong kong shares open #.# pct lower,"hong kong share prices were down #.# percent on monday , tracking wall street 's fall on friday , dealers said .",1
26,26,chinese shares lower in morning trade,"chinese share prices opened down #.## percent monday , as investors took profit after last week 's gains on the market , dealers said .",1
27,27,moderate quake rocks new zealand,"a moderate earthquake measuring #.# on the richter scale rattled the central north island of new zealand monday but there were no early reports of casualties or significant damage , scientists said .",0
28,28,oil prices rise as gustav shuts gulf installations,"world oil prices rose by less than one dollar in asian trade on monday after hurricane gustav forced the shutdown of almost all oil production in the gulf of mexico , analysts said .",1
29,29,charter flight to bring home australians stranded in phuket,hundreds of australian holidaymakers stranded on the thai resort island of phuket are expected to head home monday after budget airline jetstar said it would send a chartered plane to collect them .,0
30,30,skorea trade shortfall swells on oil price rise,"south korea 's trade deficit swelled to #.## billion dollars in august due mainly due to high oil and raw material prices , the government said monday .",1
31,31,hong kong gold opens lower,"hong kong gold prices opened lower on monday at ###.##-### .## us dollars an ounce , down from friday 's close of ###.##-### .## dollars .",0
32,32,eu to question relations with russia at emergency summit,"european union leaders will put the bloc 's relations with moscow under scrutiny at an emergency summit on monday , although sanctions against russia are not in the cards .",1
33,33,mauritanian junta announces formation of a government,"mauritania 's junta in power since an august # coup d'etat announced early monday the `` formation of a government , '' state television reported .",0
34,34,malaysia markets closed for holiday,malaysia 's financial markets are closed on monday for a public holiday .,1
35,35,pakistan army chief criticises us raids,pakistan army chief general ashfaq kayani late wednesday strongly criticised cross-border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .,0
36,36,eon says sorry for joke over profitability of cold winter,"energy firm eon uk , which is owned by german power giant eon , apologised on wednesday after one of its senior executives joked that a harsh winter would mean `` more money for us '' .",0
37,37,us catholic bishops condemn us immigration raids,"us roman catholic bishops on wednesday charged that immigration raids on us workplaces break up families and disrupt communities , without addressing the country 's flawed immigration system .",0
38,38,belarus opposition accuses west over upcoming election,"western countries will turn a blind eye to fraud in next month 's legislative election and recognize a win for the outgoing authoritarian regime , a major opposition party leader said wednesday .",1
39,39,UNK pollster sees decisive obama win,a pollster whose mathematical model has correctly predicted every winner of the white house popular vote since #### is banking on a decisive victory for democrat barack obama in november .,1
40,40,obama accuses mccain of lying over lipstick smear,the white house race plumbed new depths wednesday as barack obama accused john mccain of stooping to `` lies and phony outrage '' in response to the democrat 's mocking talk of `` lipstick on a pig .,1
41,41,us-china trade talks set for next week in california,the united states and china hold high-level trade talks in california next week amid tensions over the asian power 's massive export surplus and concerns about a slowing global economy .,0
42,42,bolivia orders us ambassador out warns of civil war,"president evo morales of bolivia on wednesday ordered the us ambassador expelled , accusing him of contributing to divisions in the country which the government warned was headed towards `` civil war .",2
43,43,euro falls below #.## dlrs on recession fears,the euro fell below #.## dollars for the first time in almost a year wednesday as investors sought a safer haven from recession fears in the eurozone and oil prices fell on demand worries .,2
44,44,prince charles calls for wartime effort against deforestation,"britain 's prince charles called on the world wednesday to act with a `` sense of wartime urgency '' to protect the rainforests , warning they were `` UNK connected '' to the phenomenon of climate change .",1
45,45,facebook makeover nettles some devotees,"facebook 's new look became mandatory wednesday in a shift to what the popular social networking website says is a faster , streamlined and more UNK format that has some devotees in a state of rebellion .",0
46,46,us rejects charges against its ambassador in bolivia,the us state department said wednesday it had received no formal word from bolivia that it was expelling the us ambassador there but rejected the charges against him as `` baseless .,0
47,47,us rejects charges against its ambassador in bolivia,the us state department said wednesday it had received no formal word from bolivia that it was expelling the us ambassador there but said the charges made against him are `` baseless .,0
48,48,bolivia president orders us envoy expelled,"bolivian president evo morales on wednesday declared the us ambassador to la paz `` persona non grata , '' accusing the envoy of encouraging the breakup of the country by promoting separatism .",1
49,49,texas girds for the worst as deadly ike closes in,texas authorities ordered coastal evacuations wednesday as deadly hurricane ike strengthened to a category two storm in the gulf of mexico and headed toward the southern us coast after ravaging cuba and the caribbean .,1
50,50,new zealand rates cut deeper than expected,"faced with a rapidly slowing economy , new zealand 's central bank cut the official interest rate by half a percentage point on thursday , double the reduction forecast by analysts .",0
51,51,tuareg rebels in mali free last hostages,"tuareg rebel chief ibrahim ag bahanga has released the last ## hostages held by his renegade group in the north of mali , the government has said , in an important step forward towards peace .",0
52,52,bolivia president orders us envoy expelled,"bolivian president evo morales on wednesday declared the us ambassador to la paz `` persona non grata , '' accusing the envoy of encouraging the breakup of the country by promoting separatism .",1
53,53,pakistan army chief criticises us raids,pakistan army chief general ashfaq kayani wednesday strongly criticised cross - border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .,0
